Name,Review text,Sentiment
Abdul G.,"Assalam u Alaikum
Received before due date original product,packing was a little poor , but seller is coprative.It was my first purchase on installment happy to get it on 0% Mark up",Nuetral
S***n,The seller was very cooperative and delivered the phone in just 3 days upon my request. The phone is just perfect and everything what I was looking for.,Nuetral
*******686,Same as described.. Amazing Packing and received just in 2 days.. Highly recommend,Nuetral
Sadaqat A.,"The product was the same as mentioned in the original. 
It was 8GB and 128GB variant mentioned and got the same.
The most beautiful thing is that I got the order delivered in just one day, which was surprised for me.
The expected delivery date was 18 September, but I got my order on 15 September.",Positive
M***.,"Ordered on Friday Afternoon and received on Monday morning. Good packing. Great Phone. Same Specifications as described. Charger 33W and back cover is also in box but no Hand free. 
Don't know about warranty? Bank installment option selected but deducted whole payment, need to sort this with Daraz or Bank?
Overall Good Experience.",Nuetral
M***.,"Ordered on Friday Afternoon and received on Monday morning. Good packing. Great Phone. Same Specifications as described. Charger 33W and back cover is also in box but no Hand free. 
Don't know about warranty? Bank installment option selected but deducted whole payment, need to sort this with Daraz or Bank?
Overall Good Experience. ",Nuetral
Zain A.,"Original phone, everything was OK, delivered on time.",Positive
Qasim I.,original  product and timely response and delivered ,Positive
3***9,Masha Allah Jo select kia tha wohi same received Huwa hai aur bohat fast delivery hui hai thanks seller 👍,Positive
Arslan Z.,"#ReviewWorldCup
#RWC
Other than camera, its a very good device specially its AMOLED display, if you are not a camera freak then this device is highly recommended for daily tasks and entertainment.",Positive
M***.,"Ordered on Friday Afternoon and received on Monday morning. Good packing. Great Phone. Same Specifications as described. Charger 33W and back cover is also in box but no Hand free. 
Don't know about warranty? Bank installment option selected but deducted whole payment, need to sort this with Daraz or Bank?
Overall Good Experience. ",Nuetral
Zain A.,"Original phone, everything was OK, delivered on time.",Positive
Qasim I.,original  product and timely response and delivered ,Positive
3***9,Masha Allah Jo select kia tha wohi same received Huwa hai aur bohat fast delivery hui hai thanks seller 👍,Positive
Arslan Z.,"#ReviewWorldCup
#RWC
Other than camera, its a very good device specially its AMOLED display, if you are not a camera freak then this device is highly recommended for daily tasks and entertainment.",Positive
M***.,"Ordered on Friday Afternoon and received on Monday morning. Good packing. Great Phone. Same Specifications as described. Charger 33W and back cover is also in box but no Hand free. 
Don't know about warranty? Bank installment option selected but deducted whole payment, need to sort this with Daraz or Bank?
Overall Good Experience. ",Nuetral
Zain A.,"Original phone, everything was OK, delivered on time.",Positive
Qasim I.,original  product and timely response and delivered ,Positive
3***9,Masha Allah Jo select kia tha wohi same received Huwa hai aur bohat fast delivery hui hai thanks seller 👍,Positive
Arslan Z.,"#ReviewWorldCup
#RWC
Other than camera, its a very good device specially its AMOLED display, if you are not a camera freak then this device is highly recommended for daily tasks and entertainment.",Positive
